title,url,discounted_price,original_price
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Rainbow,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-rainbow-p-19969.html,,
Authentic Eleaf iCard 650mAh 15W Starter Kit - Black,https://www.cigabuy.com/authentic-eleaf-icard-650mah-15w-starter-kit-black-p-20022.html,€5.51,€6.58 
Authentic Uwell Whirl II 3.5ml Sub-Ohm Tank - Silver,https://www.cigabuy.com/authentic-uwell-whirl-ii-35ml-sub-ohm-tank-silver-p-20061.html,,
Authentic Dovpo Odin Mini 75W DNA75C TC Box Mod - Brushed Red,https://www.cigabuy.com/authentic-dovpo-odin-mini-75w-dna75c-tc-box-mod-brushed-red-p-19381.html,,
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Kit - SS,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-kit-ss-p-19143.html,,
Authentic Dovpo Odin Mini 75W DNA75C TC Mod - Brushed Silver,https://www.cigabuy.com/authentic-dovpo-odin-mini-75w-dna75c-tc-mod-brushed-silver-p-19383.html,,
LS Mini WiFi FPV with 0.3MP/5.0/4KMP HD Camera Altitude Hold Mode Foldable Drone,https://www.cigabuy.com/ls-mini-wifi-fpv-with-03mp504kmp-hd-camera-altitude-hold-mode-foldable-drone-p-18910.html,€22.33,€40.34 
4 × Authentic Uwell Valyrian Pod Coil DTL 0.6ohm,https://www.cigabuy.com/4-×-authentic-uwell-valyrian-pod-coil-dtl-06ohm-p-19511.html,,
Authentic VOOPOO Argus Air Pod Kit - Vintage Brown,https://www.cigabuy.com/authentic-voopoo-argus-air-pod-kit-vintage-brown-p-19273.html,€14.01,€17.03 
Authentic Vandyvape Requiem RDA - Frosted Grey,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-frosted-grey-p-20052.html,,
Authentic OXVA Origin X 60W Pod Kit - Pine Green,https://www.cigabuy.com/authentic-oxva-origin-x-60w-pod-kit-pine-green-p-19694.html,,
Authentic VOOPOO DRAG S 2500mAh 60W VW Pod Kit - Mashup,https://www.cigabuy.com/authentic-voopoo-drag-s-2500mah-60w-vw-pod-kit-mashup-p-18565.html,€19.16,€27.06 
K2 Powerful Bass USB Notebook Stereo Speakers Subwoofer Full Frequency Speaker,https://www.cigabuy.com/k2-powerful-bass-usb-notebook-stereo-speakers-subwoofer-full-frequency-speaker-p-19451.html,€5.74,€39.88 
5 x Authentic Wotofo D11 Single Net Mesh Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d11-single-net-mesh-coil-02ohm-p-20142.html,,
Authentic Wotofo MANIK Pod Mod Kit - Nano Chrome,https://www.cigabuy.com/authentic-wotofo-manik-pod-mod-kit-nano-chrome-p-20137.html,,
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-gunmetal-p-19981.html,,
NAVIFORCE NF9161 Men's Watches Top Luxury Brand Analog Stainless Steel,https://www.cigabuy.com/naviforce-nf9161-mens-watches-top-luxury-brand-analog-stainless-steel-p-20145.html,€12.08,€29.76 
Authentic Digiflavor Lunar 4ML Starter Kit - Black,https://www.cigabuy.com/authentic-digiflavor-lunar-4ml-starter-kit-black-p-14470.html,€5.29,€15.68 
Authentic Smoant Knight 80W Mod Pod Kit - Black,https://www.cigabuy.com/authentic-smoant-knight-80w-mod-pod-kit-black-p-18857.html,€23.10,€33.46 
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html,€6.97,€16.20 
Yangmaile Gaming Keyboard Mechanical Feel G700 LED Rainbow Color Backlight Gamin,https://www.cigabuy.com/yangmaile-gaming-keyboard-mechanical-feel-g700-led-rainbow-color-backlight-gamin-p-19613.html,€6.62,€43.01 
Authentic Vaporesso Luxe II 220W TC Mod - Iceberg,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-iceberg-p-19907.html,,
NAVIFORCE 9182 Men Watch Top Brand Big Dial Sport Quartz Watches Waterproof,https://www.cigabuy.com/naviforce-9182-men-watch-top-brand-big-dial-sport-quartz-watches-waterproof-p-20148.html,€16.13,€42.00 
Authentic EHPRO Armor COD Semi-Mech Mod 21700 - Black,https://www.cigabuy.com/authentic-ehpro-armor-cod-semi-mech-mod-21700-black-p-19708.html,€23.00,€30.68 
Authentic SMOK TFV16 9ML Sub-Ohm Tank Atomizer - Black Plating,https://www.cigabuy.com/authentic-smok-tfv16-9ml-sub-ohm-tank-atomizer-black-plating-p-16020.html,€17.52,€26.69 
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-gunmetal-p-18330.html,,
5 x Authentic Wotofo D13 A1 nexMESH Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d13-a1-nexmesh-coil-02ohm-p-20141.html,,
Authentic Dovpo College DNA60 60W TC MOD - Silver,https://www.cigabuy.com/authentic-dovpo-college-dna60-60w-tc-mod-silver-p-20160.html,,
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-16656.html,,
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-gunmetal-p-19144.html,,
Authentic Freemax Autopod50 Pod Starter Kit 2000mAh - Gunmetal,https://www.cigabuy.com/authentic-freemax-autopod50-pod-starter-kit-2000mah-gunmetal-p-19712.html,€26.37,€36.88 
Authentic Gas Mods Kree 24 RTA - Black,https://www.cigabuy.com/authentic-gas-mods-kree-24-rta-black-p-19097.html,€14.29,€18.82 
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html,€6.79,€17.71 
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-gunmetal-p-19968.html,,
